City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Georgetown,MY,84.0,few clouds,5.4112,100.3354,Cititel Penang
3,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
9,Kruisfontein,ZA,78.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
11,Diamantino,BR,86.97,broken clouds,-14.4086,-56.4461,Hotel Delta
16,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Karratha,AU,81.18,few clouds,-20.7377,116.8463,ibis Styles Karratha
19,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
21,Tautira,PF,82.0,few clouds,-17.7333,-149.15,Pension Oaoa
22,Rikitea,PF,78.13,scattered clouds,-23.1203,-134.9692,Pension Maro'i
23,Puerto Ayora,EC,84.2,broken clouds,-0.7393,-90.3518,Castillo Galapagos
26,Dubti,ET,80.6,broken clouds,11.7361,41.0853,degu Shiferaw
28,Ancud,CL,80.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
32,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
35,Kavieng,PG,79.68,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
39,Pundaguitan,PH,81.81,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
40,Isangel,VU,77.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
41,Kanel,SN,84.2,overcast clouds,15.4916,-13.1763,
44,Gizo,SB,82.44,light rain,-8.103,156.8419,Imagination Island
48,Coihaique,CL,75.2,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
60,Butaritari,KI,80.42,light rain,3.0707,172.7902,Isles Sunset Lodge
64,Tulagi,SB,82.51,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
65,Kupang,ID,77.86,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
67,Atuona,PF,78.94,broken clouds,-9.8,-139.0333,Villa Enata
68,Dzaoudzi,YT,84.2,few clouds,-12.7887,45.2699,Le Rocher
69,Maragogi,BR,85.14,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
72,Bredasdorp,ZA,75.2,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
78,Miracema Do Tocantins,BR,88.3,scattered clouds,-9.5618,-48.3967,Miami Apart Hotel
79,Aden,YE,75.25,clear sky,12.7794,45.0367,Sama Emirate Hotel
80,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
82,Hermanus,ZA,75.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Lakatoro,VU,78.8,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
85,Paso De Los Toros,UY,77.0,few clouds,-32.8167,-56.5167,Complejo Isabelino
87,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
90,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
93,Cape Town,ZA,75.99,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
99,Werda,BW,79.7,scattered clouds,-25.2667,23.2833,
103,Avarua,CK,75.2,scattered clouds,-21.2078,-159.775,Paradise Inn
116,Kathu,TH,82.4,few clouds,7.9178,98.3332,Novotel Phuket Resort
117,Nabire,ID,75.99,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
123,Tiarei,PF,82.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
125,Axim,GH,83.8,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
127,Acapulco,MX,82.4,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
135,Ambon,ID,80.6,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
