City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Khatanga,71.9667,102.5,-27.13,79,41,8.63,RU,scattered clouds
1,Mataura,-46.1927,168.8643,47.43,94,100,1.5,NZ,overcast clouds
2,Georgetown,5.4112,100.3354,84.0,83,20,2.3,MY,few clouds
3,Grand Gaube,-20.0064,57.6608,79.0,77,0,1.99,MU,clear sky
4,Hobart,-42.8794,147.3294,69.8,83,90,10.36,AU,light rain
5,Geraldton,-28.7667,114.6,66.2,77,90,11.5,AU,light rain
6,Punta Arenas,-53.15,-70.9167,55.4,50,20,24.16,CL,few clouds
7,Hamilton,39.1834,-84.5333,32.0,55,20,11.5,US,few clouds
8,Qaanaaq,77.484,-69.3632,-14.06,72,25,6.49,GL,scattered clouds
9,Kruisfontein,-34.0033,24.7314,78.01,62,0,7.0,ZA,clear sky
10,Castro,-24.7911,-50.0119,74.12,55,0,8.14,BR,clear sky
11,Diamantino,-14.4086,-56.4461,86.97,61,77,5.97,BR,broken clouds
12,Bilibino,68.0546,166.4372,-20.29,80,9,4.34,RU,clear sky
13,Ushuaia,-54.8,-68.3,50.0,71,75,27.63,AR,light rain
14,Busselton,-33.65,115.3333,61.0,67,95,3.0,AU,overcast clouds
15,Baruun-Urt,46.6806,113.2792,11.57,94,100,12.15,MN,overcast clouds
16,Vaini,-21.2,-175.2,78.8,94,75,1.14,TO,broken clouds
17,New Norfolk,-42.7826,147.0587,64.99,89,100,2.71,AU,light rain
18,Karratha,-20.7377,116.8463,81.18,78,17,8.68,AU,few clouds
19,Mount Isa,-20.7333,139.5,84.2,61,40,10.36,AU,scattered clouds
20,Shubarshi,48.5872,57.1869,34.14,91,100,14.25,KZ,overcast clouds
21,Tautira,-17.7333,-149.15,82.0,65,13,1.99,PF,few clouds
22,Rikitea,-23.1203,-134.9692,78.13,71,40,12.08,PF,scattered clouds
23,Puerto Ayora,-0.7393,-90.3518,84.2,65,75,19.57,EC,broken clouds
24,Ulladulla,-35.35,150.4667,72.0,88,75,11.5,AU,light rain
25,Constitucion,-35.3333,-72.4167,63.21,72,83,6.67,CL,broken clouds
26,Dubti,11.7361,41.0853,80.6,32,60,10.63,ET,broken clouds
27,Kaitangata,-46.2817,169.8464,51.01,80,95,5.01,NZ,overcast clouds
28,Ancud,-41.8697,-73.8203,80.6,29,0,19.57,CL,clear sky
29,Hilo,19.7297,-155.09,62.6,67,1,8.05,US,clear sky
30,Tasiilaq,65.6145,-37.6368,21.2,63,20,4.61,GL,few clouds
31,Longyearbyen,78.2186,15.6401,17.6,79,75,9.22,SJ,broken clouds
32,Bambous Virieux,-20.3428,57.7575,80.6,78,75,4.61,MU,light rain
33,Taoudenni,22.6783,-3.9836,94.93,9,23,18.07,ML,few clouds
34,Seoul,37.5683,126.9778,35.6,75,40,3.44,KR,scattered clouds
35,Kavieng,-2.5744,150.7967,79.68,87,100,13.35,PG,overcast clouds
36,Waterford,42.7023,-83.4027,18.0,79,90,18.41,US,snow
37,Asau,46.4333,26.4,37.0,71,98,1.28,RO,overcast clouds
38,Minsk,53.9,27.5667,19.4,86,75,11.18,BY,light snow
39,Pundaguitan,6.3711,126.1689,81.81,79,97,16.93,PH,overcast clouds
40,Isangel,-19.55,169.2667,77.0,94,20,2.17,VU,few clouds
41,Kanel,15.4916,-13.1763,84.2,34,97,9.22,SN,overcast clouds
42,Flin Flon,54.7682,-101.865,-18.4,63,20,13.8,CA,snow
43,Port Alfred,-33.5906,26.891,72.0,88,98,5.01,ZA,light rain
44,Gizo,-8.103,156.8419,82.44,76,34,9.84,SB,light rain
45,Saint-Augustin,51.226,-58.6502,32.45,97,100,18.05,CA,snow
46,Arco,45.9177,10.8867,50.0,77,97,0.54,IT,overcast clouds
47,Bluff,-46.6,168.3333,53.04,86,100,4.76,NZ,overcast clouds
48,Coihaique,-45.5752,-72.0662,75.2,41,0,3.44,CL,clear sky
49,Te Anau,-45.4167,167.7167,53.91,91,89,0.43,NZ,overcast clouds
50,Yunhe,34.0833,119.7167,43.16,93,0,9.37,CN,clear sky
51,Makakilo City,21.3469,-158.0858,60.8,82,75,3.44,US,broken clouds
52,Esperance,-33.8667,121.9,57.2,94,90,3.44,AU,overcast clouds
53,Sjovegan,68.8726,17.8474,30.99,93,75,5.75,NO,broken clouds
54,Sobolevo,54.4299,31.8996,8.8,96,96,8.28,RU,light snow
55,Berlevag,70.8578,29.0864,26.6,93,75,17.27,NO,snow
56,Pleasanton,37.6624,-121.8747,46.99,61,1,2.17,US,clear sky
57,Tommot,58.9564,126.2925,-24.41,82,95,2.55,RU,overcast clouds
58,Lososina,48.9975,140.3106,-7.74,82,8,5.39,RU,clear sky
59,Jiutai,44.1525,125.8328,10.4,79,100,2.24,CN,mist
60,Butaritari,3.0707,172.7902,80.42,83,100,12.37,KI,light rain
61,Jamestown,42.097,-79.2353,28.4,69,90,21.85,US,light snow
62,Mar Del Plata,-38.0023,-57.5575,73.4,60,0,8.05,AR,clear sky
63,Srednekolymsk,67.45,153.6833,-14.31,88,100,7.65,RU,overcast clouds
64,Tulagi,-9.0996,160.1476,82.51,75,97,10.02,SB,moderate rain
65,Kupang,-10.1667,123.5833,77.86,89,100,9.26,ID,moderate rain
66,North Platte,41.1239,-100.7654,35.6,55,1,17.27,US,clear sky
67,Atuona,-9.8,-139.0333,78.94,80,55,16.22,PF,broken clouds
68,Dzaoudzi,-12.7887,45.2699,84.2,74,20,9.22,YT,few clouds
69,Maragogi,-9.0122,-35.2225,85.14,62,32,13.31,BR,scattered clouds
70,Sao Felix Do Xingu,-6.6447,-51.995,90.54,52,63,4.43,BR,broken clouds
71,Kapaa,22.0752,-159.319,63.0,77,90,5.75,US,overcast clouds
72,Bredasdorp,-34.5322,20.0403,75.2,60,0,12.66,ZA,clear sky
73,Columbus,39.9612,-82.9988,28.99,64,40,16.11,US,scattered clouds
74,San Patricio,28.017,-97.5169,61.0,59,90,11.5,US,overcast clouds
75,Pauini,-7.7136,-66.9764,74.55,97,100,2.82,BR,overcast clouds
76,Sanchursk,56.9413,47.2499,18.77,97,100,15.95,RU,light snow
77,Sorland,67.667,12.6934,35.6,75,40,11.5,NO,scattered clouds
78,Miracema Do Tocantins,-9.5618,-48.3967,88.3,63,36,4.07,BR,scattered clouds
79,Aden,12.7794,45.0367,75.25,68,9,15.88,YE,clear sky
80,Souillac,-20.5167,57.5167,80.6,78,75,4.61,MU,broken clouds
81,Ourem,39.6417,-8.5919,54.0,91,100,6.98,PT,overcast clouds
82,Hermanus,-34.4187,19.2345,75.99,71,0,5.01,ZA,clear sky
83,Lakatoro,-16.0999,167.4164,78.8,79,99,2.08,VU,overcast clouds
84,East London,-33.0153,27.9116,69.8,94,75,9.22,ZA,light rain
85,Paso De Los Toros,-32.8167,-56.5167,77.0,50,20,9.22,UY,few clouds
86,Tiksi,71.6872,128.8694,-17.63,89,100,16.08,RU,overcast clouds
87,Port Hedland,-20.3167,118.5667,78.8,89,27,5.75,AU,scattered clouds
88,Talaya,61.3833,152.75,-25.42,83,99,1.39,RU,overcast clouds
89,Puerto Guzman,0.9703,-76.5858,74.23,85,100,2.13,CO,overcast clouds
90,Kununurra,-15.7667,128.7333,77.0,100,90,4.61,AU,overcast clouds
91,Sambhal,28.5833,78.55,56.64,53,0,8.3,IN,clear sky
92,Dikson,73.5069,80.5464,-31.43,83,4,13.67,RU,clear sky
