City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cockburn Town,TC,2021-02-02 21:36:56,21.4612,-71.1419,77.0,73,75,12.66
1,Ushuaia,AR,2021-02-02 21:34:31,-54.8,-68.3,55.4,76,75,6.91
2,Busselton,AU,2021-02-02 21:33:08,-33.65,115.3333,66.0,88,38,4.0
3,Dikson,RU,2021-02-02 21:36:57,73.5069,80.5464,-23.49,84,1,13.85
4,Bethel,US,2021-02-02 21:36:57,41.3712,-73.414,30.2,80,90,9.22
5,Fayaoue,NC,2021-02-02 21:36:57,-20.65,166.5333,74.34,86,99,47.85
6,Touba,CI,2021-02-02 21:36:58,8.2833,-7.6833,77.47,24,15,1.03
7,Baykit,RU,2021-02-02 21:36:58,61.67,96.37,-8.73,86,100,2.62
8,Longyearbyen,SJ,2021-02-02 21:36:58,78.2186,15.6401,19.4,86,75,8.05
9,Cabo San Lucas,MX,2021-02-02 21:36:59,22.8909,-109.9124,80.01,47,20,12.66
10,Tasiilaq,GL,2021-02-02 21:36:59,65.6145,-37.6368,19.4,86,90,3.44
11,Punta Arenas,CL,2021-02-02 21:32:07,-53.15,-70.9167,60.8,67,75,18.41
12,Butaritari,KI,2021-02-02 21:37:00,3.0707,172.7902,81.77,84,92,19.17
13,Hilo,US,2021-02-02 21:32:44,19.7297,-155.09,75.2,69,90,13.8
14,Manokwari,ID,2021-02-02 21:37:00,-0.8667,134.0833,77.85,79,93,5.77
15,Veraval,IN,2021-02-02 21:37:01,20.9,70.3667,71.13,46,0,11.83
16,Avarua,CK,2021-02-02 21:37:01,-21.2078,-159.775,80.6,74,75,9.22
17,Cidreira,BR,2021-02-02 21:37:01,-30.1811,-50.2056,78.28,85,0,12.26
18,Atuona,PF,2021-02-02 21:37:02,-9.8,-139.0333,78.3,75,3,14.76
19,Beringovskiy,RU,2021-02-02 21:37:02,63.05,179.3167,8.89,95,100,8.32
20,Jamestown,US,2021-02-02 21:35:26,42.097,-79.2353,25.0,86,90,14.97
21,San Cristobal,VE,2021-02-02 21:37:03,7.7669,-72.225,91.4,46,20,11.5
22,Albany,US,2021-02-02 21:37:03,42.6001,-73.9662,28.0,88,100,1.99
23,Rorvik,NO,2021-02-02 21:37:03,64.8621,11.2373,21.2,73,40,9.22
24,Hermanus,ZA,2021-02-02 21:37:03,-34.4187,19.2345,63.0,89,0,6.87
25,Vaini,TO,2021-02-02 21:37:04,-21.2,-175.2,78.8,94,90,6.91
26,Thompson,CA,2021-02-02 21:32:55,55.7435,-97.8558,15.8,100,90,5.75
27,Mataura,NZ,2021-02-02 21:37:04,-46.1927,168.8643,66.25,65,98,4.43
28,Lavrentiya,RU,2021-02-02 21:37:05,65.5833,-171.0,4.89,87,100,21.77
29,Dalmatovo,RU,2021-02-02 21:37:06,56.26,62.9362,24.64,97,100,14.09
30,Arraial Do Cabo,BR,2021-02-02 21:37:06,-22.9661,-42.0278,80.6,69,0,17.27
31,San Patricio,US,2021-02-02 21:37:07,28.017,-97.5169,73.4,28,1,8.86
32,Rio Gallegos,AR,2021-02-02 21:37:07,-51.6226,-69.2181,75.2,38,0,17.27
33,Ponca City,US,2021-02-02 21:35:23,36.707,-97.0856,60.8,31,1,12.66
34,Chandpur,IN,2021-02-02 21:37:08,29.15,78.2667,52.9,48,0,5.95
35,New Norfolk,AU,2021-02-02 21:37:08,-42.7826,147.0587,59.0,62,97,1.01
36,Ondjiva,AO,2021-02-02 21:37:09,-17.0667,15.7333,70.0,49,53,4.16
37,Khatanga,RU,2021-02-02 21:37:09,71.9667,102.5,-27.04,85,48,7.76
38,Cognac,FR,2021-02-02 21:37:09,45.5,-0.25,55.4,94,90,11.5
39,Castro,BR,2021-02-02 21:37:10,-24.7911,-50.0119,70.56,87,42,2.28
40,Kodinsk,RU,2021-02-02 21:37:10,58.6881,99.1844,-11.38,88,100,3.53
41,Dicabisagan,PH,2021-02-02 21:37:10,17.0818,122.4157,72.25,85,93,10.71
42,Luderitz,NA,2021-02-02 21:37:11,-26.6481,15.1594,65.48,83,1,10.09
43,Tuatapere,NZ,2021-02-02 21:37:11,-46.1333,167.6833,62.37,79,100,2.44
44,Puerto Rondon,CO,2021-02-02 21:37:11,6.2805,-71.1,90.12,39,56,7.31
45,Pangkalanbuun,ID,2021-02-02 21:35:01,-2.6833,111.6167,74.73,96,99,2.91
46,Lebu,CL,2021-02-02 21:37:12,-37.6167,-73.65,61.57,72,22,13.11
47,Kapaa,US,2021-02-02 21:37:12,22.0752,-159.319,77.0,83,40,16.11
48,Camacha,PT,2021-02-02 21:37:12,33.0833,-16.3333,62.6,77,75,3.44
