City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-02-04 22:29:07,-53.15,-70.9167,59.0,44,0,25.32
1,Barcelos,PT,2021-02-04 22:28:00,41.5388,-8.6151,48.99,93,40,4.61
2,Castro,BR,2021-02-04 22:29:18,-24.7911,-50.0119,70.43,93,96,6.67
3,Bredasdorp,ZA,2021-02-04 22:29:18,-34.5322,20.0403,68.0,77,98,5.75
4,Port Elizabeth,ZA,2021-02-04 22:26:09,-33.918,25.5701,68.0,88,0,4.61
5,Usinsk,RU,2021-02-04 22:29:18,65.9939,57.5281,-7.08,91,98,12.24
6,Inuvik,CA,2021-02-04 22:29:18,68.3499,-133.7218,-32.8,68,12,2.3
7,Lebu,CL,2021-02-04 22:29:18,-37.6167,-73.65,68.94,60,1,4.27
8,Aklavik,CA,2021-02-04 22:29:19,68.2191,-135.0107,-41.8,66,20,3.44
9,Hobyo,SO,2021-02-04 22:29:19,5.3505,48.5268,76.14,80,15,15.52
10,Camaguey,CU,2021-02-04 22:29:19,21.3808,-77.9169,75.2,46,20,13.8
11,Santa Fe,AR,2021-02-04 22:26:46,-31.6333,-60.7,84.99,42,2,1.99
12,Alofi,NU,2021-02-04 22:29:19,-19.0595,-169.9187,82.4,78,75,10.36
13,Nador,MA,2021-02-04 22:29:19,35.174,-2.9287,55.4,94,0,4.61
14,Bluff,NZ,2021-02-04 22:29:19,-46.6,168.3333,53.83,66,55,4.59
15,Khatanga,RU,2021-02-04 22:29:19,71.9667,102.5,-31.16,78,0,8.81
16,Sur,OM,2021-02-04 22:29:20,22.5667,59.5289,65.19,70,0,4.68
17,Dikson,RU,2021-02-04 22:29:20,73.5069,80.5464,-6.14,91,100,11.65
18,Ribeira Grande,PT,2021-02-04 22:29:20,38.5167,-28.7,55.4,62,40,3.44
19,Jamestown,US,2021-02-04 22:29:07,42.097,-79.2353,37.99,44,1,5.75
20,Atuona,PF,2021-02-04 22:26:03,-9.8,-139.0333,78.82,69,59,10.92
21,Barrow,US,2021-02-04 22:29:09,71.2906,-156.7887,-29.2,75,20,9.22
22,Severnyy,RU,2021-02-04 22:29:20,50.677,36.5532,33.8,100,90,8.95
23,Codrington,AU,2021-02-04 22:29:13,-38.2667,141.9667,56.12,87,100,16.08
24,Chuy,UY,2021-02-04 22:29:20,-33.6971,-53.4616,66.22,75,64,14.14
25,Kapaa,US,2021-02-04 22:29:20,22.0752,-159.319,71.6,53,1,12.66
26,Washington,US,2021-02-04 22:28:22,47.5001,-120.5015,51.8,43,1,5.75
27,Mataura,NZ,2021-02-04 22:29:21,-46.1927,168.8643,60.24,56,36,3.87
28,San Carlos,VE,2021-02-04 22:29:21,9.6612,-68.5827,90.99,43,90,1.97
29,Norman Wells,CA,2021-02-04 22:29:21,65.282,-126.8329,-38.2,67,20,2.3
30,Yinchuan,CN,2021-02-04 22:29:21,38.4681,106.2731,31.5,72,42,8.08
31,Port Alfred,ZA,2021-02-04 22:29:09,-33.5906,26.891,66.99,86,4,3.0
32,Cherskiy,RU,2021-02-04 22:29:21,68.75,161.3,-11.29,73,20,11.7
33,Tiksi,RU,2021-02-04 22:26:24,71.6872,128.8694,-23.13,87,100,5.77
34,Ambulu,ID,2021-02-04 22:29:22,-8.345,113.6058,75.47,90,89,3.65
35,Gornyye Klyuchi,RU,2021-02-04 22:29:22,45.25,133.5,-12.28,85,38,5.23
36,Kongolo,CD,2021-02-04 22:29:22,-5.3833,27.0,70.66,89,79,1.14
37,Albany,US,2021-02-04 22:29:22,42.6001,-73.9662,35.6,55,1,4.61
38,Mar Del Plata,AR,2021-02-04 22:29:22,-38.0023,-57.5575,68.0,68,20,12.66
39,Yulara,AU,2021-02-04 22:28:58,-25.2406,130.9889,66.2,63,90,11.5
40,Toledo,ES,2021-02-04 22:29:22,39.8333,-4.0,55.99,67,100,4.63
41,Nikolskoye,RU,2021-02-04 22:29:22,59.7035,30.7861,9.0,85,90,6.71
42,Butaritari,KI,2021-02-04 22:29:22,3.0707,172.7902,79.48,86,100,13.6
43,Whitehorse,CA,2021-02-04 22:29:22,60.7161,-135.0538,-9.4,70,75,1.86
44,Saint-Philippe,RE,2021-02-04 22:29:23,-21.3585,55.7679,80.6,65,50,4.61
45,Valparaiso,CL,2021-02-04 22:29:23,-33.0393,-71.6273,64.0,82,20,6.91
46,Tuktoyaktuk,CA,2021-02-04 22:29:23,69.4541,-133.0374,-34.6,67,75,11.5
47,Kirakira,SB,2021-02-04 22:29:23,-10.4544,161.9205,80.44,82,100,10.98
48,Cape Town,ZA,2021-02-04 22:29:08,-33.9258,18.4232,69.01,82,0,10.36
49,Guerrero Negro,MX,2021-02-04 22:29:23,27.9769,-114.0611,65.91,56,94,20.04
50,Tasiilaq,GL,2021-02-04 22:29:23,65.6145,-37.6368,26.6,86,75,21.85
51,Tomatlan,MX,2021-02-04 22:29:23,19.9333,-105.25,87.6,34,0,6.15
52,Ushuaia,AR,2021-02-04 22:29:07,-54.8,-68.3,53.6,66,20,36.82
53,La Ronge,CA,2021-02-04 22:24:55,55.1001,-105.2842,-0.4,71,100,5.75
54,Rocha,UY,2021-02-04 22:29:24,-34.4833,-54.3333,65.93,80,100,16.02
55,Hobart,AU,2021-02-04 22:29:24,-42.8794,147.3294,70.0,78,75,3.44
